rank,cluster_id,kind,label,addresses,roles,recipient_count,voter_count,recipient_voter_count,total_compensation_gonka,total_voting_power,vote_power_by_option,vote_address_counts,evidence_boundary,interest_score,top_evidence,caveats
74,label:gonka1mgdgcll2f4m0cjekqyueheeu7y8adz0hddfnh2,label,gonka1mgdgcll2f4m0cjekqyueheeu7y8adz0hddfnh2,gonka1mgdgcll2f4m0cjekqyueheeu7y8adz0hddfnh2,voter,0,1,0,0,0,yes:0.0,yes:1,shared_public_label_only,0.0,proposal_vote:yes:high,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | Voter addresses in this cluster had zero archive governance voting power."
75,label:gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,label,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,epoch_commit_participant voter,0,1,0,0,0,no_with_veto:0.0,no_with_veto:1,shared_public_label_only,0.0,matched_validator_moniker:gonkavaloper1naxyjmun6kl23htjdujwd6c5z5avgwapvr2wpu:high | matched_validator_moniker:gonkavaloper1naxyjmun6kl23htjdujwd6c5z5avgwapvr2wpu:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e268 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=3744:medium | epoch_commit_participant:e269 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=4160:medium | epoch_commit_participant:e273 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=2048:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | Voter addresses in this cluster had zero archive governance voting power."
76,label:gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,label,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
77,label:gonka1nvcwl2c7jxj2h47c56y8dmcmf0tynt5dplzngy,label,gonka1nvcwl2c7jxj2h47c56y8dmcmf0tynt5dplzngy,gonka1nvcwl2c7jxj2h47c56y8dmcmf0tynt5dplzngy,proposer,0,0,0,0,0,,,shared_public_label_only,0.0,proposal_proposer:67:high,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership."
78,label:gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,label,gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
79,label:gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,label,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
80,label:gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,label,gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
81,label:gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,label,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
82,label:gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,label,gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
83,label:gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,label,gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
84,label:gonka1v5cl6pudnagau7exyu3a9h74clw9zm7l5psp0r,label,gonka1v5cl6pudnagau7exyu3a9h74clw9zm7l5psp0r,gonka1v5cl6pudnagau7exyu3a9h74clw9zm7l5psp0r,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
85,label:gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,label,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,epoch_commit_participant voter,0,1,0,0,0,no_with_veto:0.0,no_with_veto:1,shared_public_label_only,0.0,matched_validator_moniker:gonkavaloper14n4p8wfa03rhmy4agc560k4a3zafavakr2kukm:high | matched_validator_moniker:gonkavaloper14n4p8wfa03rhmy4agc560k4a3zafavakr2kukm:high | proposal_vote:no_with_veto:high | epoch_commit_participant:e266 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1824:medium | epoch_commit_participant:e267 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1824:medium | epoch_commit_participant:e269 Qwen/Qwen3-235B-A22B-Instruct-2507-FP8 count=1824:medium,"No strict public owner proof. | Cluster may be based on infrastructure/public signals, not ownership. | Voter addresses in this cluster had zero archive governance voting power."
86,label:gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,label,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
87,label:gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,label,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
88,label:gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,label,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,epoch_commit_participant,0,0,0,0,0,,,shared_public_label_only,0.0,,No strict public owner proof.
