source_type,value,confidence,is_attribution_proof,addresses,address_count,total_compensation_gonka,total_voting_power,vote_power_by_option,source_file
participant_inference_url,http://95.217.122.154:8000,medium,False,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,1,4673.802242,0,,data/participants_by_address.json
participant_inference_url,http://109.206.182.132:8000,medium,False,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,1,4444.392151,0,,data/participants_by_address.json
validator_moniker,gonkavaloper14ljarev2nlzu4ej50vx7ylj2rvg4n20f0qmr84,high,False,gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,1,4444.392151,0,,data/validators.json
participant_inference_url,http://159.69.112.72:8000,medium,False,gonka1l8jd2nz92mnem0xwgwkltcw2952cnlphs5arsa,1,4167.200641,0,,data/participants_by_address.json
participant_inference_url,http://178.105.166.7:8000,medium,False,gonka1007n977a7uda3pd9m6hftw8xcql0tc20m96myu,1,3396.492512,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1007n977a7uda3pd9m6hftw8xcql0tc2089tun3,high,False,gonka1007n977a7uda3pd9m6hftw8xcql0tc20m96myu,1,3396.492512,0,,data/validators.json
participant_inference_url,https://node3.gonka.ai,medium,False,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,1,3018.840187,0,,data/participants_by_address.json
validator_moniker,gonka-3,high,True,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,1,3018.840187,0,,data/validators.json
participant_inference_url,http://95.217.47.126:8000,medium,False,gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,1,2731.396085,0,,data/participants_by_address.json
validator_moniker,gonkavaloper1tl5m3vuqsx333v7095ymwjdc4vdk2wd9l5x8ea,high,False,gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,1,2731.396085,0,,data/validators.json
